Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 03/03/2020
Code Cohort   sdCMAB   sdCMAB40
NOR  1956       5.70       5.42
NOR  1957       5.69       5.41
NOR  1958       5.65       5.36
NOR  1959       5.58       5.30
NOR  1960       5.56       5.27
NOR  1961       5.52       5.23
NOR  1962       5.51       5.21
NOR  1963       5.49       5.16
NOR  1964       5.48       5.14
NOR  1965       5.48       5.12
NOR  1966       5.48       5.12
NOR  1967       5.54       5.16
NOR  1968       5.54       5.17
NOR  1969          .       5.20
NOR  1970          .       5.20
NOR  1971          .       5.18
NOR  1972          .       5.17
NOR  1973          .       5.17
NOR  1974          .       5.13
NOR  1975          .       5.11
NOR  1976          .       5.09
NOR  1977          .       5.07
NOR  1978          .       5.05
POL  1956       5.07       4.79
POL  1957       5.05       4.78
POL  1958       5.03       4.76
POL  1959       5.02       4.75
POL  1960       5.03       4.76
POL  1961       5.04       4.76
POL  1962       5.06       4.77
POL  1963       5.08       4.78
POL  1964       5.10       4.79
POL  1965       5.13       4.81
POL  1966       5.17       4.83
POL  1967          .       4.88
POL  1968          .       4.94
POL  1969          .       5.02
POL  1970          .       5.14
POL  1971          .       5.25
POL  1972          .       5.34
POL  1973          .       5.41
POL  1974          .       5.42
POL  1975          .       5.43
POL  1976          .       5.42
PRT  1925       6.39       5.57
PRT  1926       6.36       5.57
PRT  1927       6.35       5.57
PRT  1928       6.30       5.55
PRT  1929       6.24       5.51
PRT  1930       6.16       5.46
PRT  1931       6.11       5.42
PRT  1932       6.06       5.39
PRT  1933       5.99       5.35
PRT  1934       5.91       5.31
PRT  1935       5.84       5.27
PRT  1936       5.77       5.24
PRT  1937       5.68       5.20
PRT  1938       5.59       5.14
PRT  1939       5.55       5.10
PRT  1940       5.49       5.07
PRT  1941       5.42       5.02
PRT  1942       5.35       4.97
PRT  1943       5.29       4.93
PRT  1944       5.22       4.88
PRT  1945       5.20       4.86
PRT  1946       5.17       4.86
PRT  1947       5.11       4.82
PRT  1948       5.17       4.88
PRT  1949       5.16       4.86
PRT  1950       5.17       4.86
PRT  1951       5.16       4.87
PRT  1952       5.16       4.85
PRT  1953       5.18       4.87
PRT  1954       5.23       4.91
PRT  1955       5.29       4.96
PRT  1956       5.39       5.05
PRT  1957       5.49       5.15
PRT  1958       5.60       5.26
PRT  1959       5.70       5.35
PRT  1960       5.79       5.43
PRT  1961       5.86       5.50
PRT  1962       5.85       5.49
PRT  1963       5.89       5.54
PRT  1964       5.90       5.55
PRT  1965       5.93       5.57
PRT  1966          .       5.56
PRT  1967          .       5.59
PRT  1968          .       5.57
PRT  1969          .       5.57
PRT  1970          .       5.56
PRT  1971          .       5.55
PRT  1972          .       5.54
PRT  1973          .       5.55
PRT  1974          .       5.56
PRT  1975          .       5.57
KOR  1968          .       4.03
KOR  1969          .       4.06
KOR  1970          .       4.12
KOR  1971          .       4.19
RUS  1944       5.21       4.91
RUS  1945       5.21       4.90
RUS  1946       5.21       4.91
RUS  1947       5.22       4.94
RUS  1948       5.22       4.98
RUS  1949       5.23       5.01
RUS  1950       5.22       5.03
RUS  1951       5.19       5.03
RUS  1952       5.14       4.99
RUS  1953       5.08       4.93
RUS  1954       5.00       4.85
RUS  1955       4.90       4.75
RUS  1956       4.81       4.65
RUS  1957       4.73       4.55
RUS  1958       4.66       4.47
RUS  1959       4.61       4.41
RUS  1960       4.60       4.38
RUS  1961       4.64       4.39
RUS  1962       4.70       4.43
RUS  1963       4.81       4.51
RUS  1964       4.94       4.62
RUS  1965          .       4.75
RUS  1966          .       4.89
RUS  1967          .       5.04
